Symbol,Company Name,Industry
REFEX.NS,Refex Industries Ltd.,Utilities
RELAXO.NS,Relaxo Footwears Ltd.,Consumer Durables
RELIGARE.NS,Religare Enterprises Ltd.,Financial Services
RBA.NS,Restaurant Brands Asia Ltd.,Consumer Services
ROUTE.NS,Route Mobile Ltd.,Telecommunication
RUBICON.NS,Rubicon Research Ltd.,Healthcare
SKFINDUS.NS,SKF India (Industrial) Ltd.,Capital Goods
SKFINDIA.NS,SKF India Ltd.,Automobile and Auto Components
SKYGOLD.NS,SKY GOLD AND DIAMONDS Ltd.,Consumer Durables
SMLMAH.NS,SML Mahindra Ltd.,Capital Goods
SAATVIKGL.NS,Saatvik Green Energy Ltd.,Capital Goods
SAFARI.NS,Safari Industries (India) Ltd.,Consumer Durables
SAMHI.NS,Samhi Hotels Ltd.,Consumer Services
SANDUMA.NS,Sandur Manganese & Iron Ores Ltd.,Metals & Mining
SANOFICONR.NS,Sanofi Consumer Healthcare India Ltd.,Healthcare
SANSERA.NS,Sansera Engineering Ltd.,Automobile and Auto Components
SENCO.NS,Senco Gold Ltd.,Consumer Durables
STYL.NS,Seshaasai Technologies Ltd.,Financial Services
SHAILY.NS,Shaily Engineering Plastics Ltd.,Consumer Durables
SHAKTIPUMP.NS,Shakti Pumps (India) Ltd.,Capital Goods
SHARDACROP.NS,Sharda Cropchem Ltd.,Chemicals
SHAREINDIA.NS,Share India Securities Ltd.,Financial Services
SFL.NS,Sheela Foam Ltd.,Consumer Durables
SHILPAMED.NS,Shilpa Medicare Ltd.,Healthcare
RENUKA.NS,Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods
SHRIPISTON.NS,Shriram Pistons & Rings Ltd.,Automobile and Auto Components
SKIPPER.NS,Skipper Ltd.,Capital Goods
SMARTWORKS.NS,Smartworks Coworking Spaces Ltd.,Services
SOUTHBANK.NS,South Indian Bank Ltd.,Financial Services
LOTUSDEV.NS,Sri Lotus Developers and Realty Ltd.,Realty
STARCEMENT.NS,Star Cement Ltd.,Construction Materials
SWSOLAR.NS,Sterling and Wilson Renewable Energy Ltd.,Construction
STLTECH.NS,Sterlite Technologies Ltd.,Telecommunication
STAR.NS,Strides Pharma Science Ltd.,Healthcare
STYRENIX.NS,Styrenix Performance Materials Ltd.,Chemicals
SUBROS.NS,Subros Ltd.,Capital Goods
SUDARSCHEM.NS,Sudarshan Chemical Industries Ltd.,Chemicals
SUDEEPPHRM.NS,Sudeep Pharma Ltd.,Chemicals
SPARC.NS,Sun Pharma Advanced Research Company Ltd.,Healthcare
SUNTECK.NS,Sunteck Realty Ltd.,Realty
SUPRIYA.NS,Supriya Lifescience Ltd.,Healthcare
SURYAROSNI.NS,Surya Roshni Ltd.,Capital Goods
TARC.NS,TARC Ltd.,Realty
TDPOWERSYS.NS,TD Power Systems Ltd.,Capital Goods
TSFINV.NS,TSF Investments Ltd.,Financial Services
TVSSCS.NS,TVS Supply Chain Solutions Ltd.,Services
TMB.NS,Tamilnad Mercantile Bank Ltd.,Financial Services
TANLA.NS,Tanla Platforms Ltd.,Information Technology
TEXRAIL.NS,Texmaco Rail & Eng. Ltd.,Capital Goods
THANGAMAYL.NS,Thangamayil Jewellery Ltd.,Consumer Durables
ANUP.NS,The Anup Engineering Ltd.,Capital Goods
THOMASCOOK.NS,Thomas Cook (India) Ltd.,Consumer Services
THYROCARE.NS,Thyrocare Technologies Ltd.,Healthcare
TI.NS,Tilaknagar Industries Ltd.,Fast Moving Consumer Goods
TIMETECHNO.NS,Time Technoplast Ltd.,Capital Goods
TIPSMUSIC.NS,Tips Music Ltd.,Media Entertainment & Publication
TRANSRAILL.NS,Transrail Lighting Ltd.,Capital Goods
TRIVENI.NS,Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods
UJJIVANSFB.NS,Ujjivan Small Finance Bank Ltd.,Financial Services
VGUARD.NS,V-Guard Industries Ltd.,Consumer Durables
VMART.NS,V-Mart Retail Ltd.,Consumer Services
VIPIND.NS,V.I.P. Industries Ltd.,Consumer Durables
V2RETAIL.NS,V2 Retail Ltd.,Consumer Services
WABAG.NS,Va Tech Wabag Ltd.,Utilities
VAIBHAVGBL.NS,Vaibhav Global Ltd.,Consumer Durables
DBREALTY.NS,Valor Estate Ltd.,Realty
VARROC.NS,Varroc Engineering Ltd.,Automobile and Auto Components
MANYAVAR.NS,Vedant Fashions Ltd.,Consumer Services
VIKRAMSOLR.NS,Vikram Solar Ltd.,Capital Goods
VIYASH.NS,Viyash Scientific Ltd.,Healthcare
VOLTAMP.NS,Voltamp Transformers Ltd,Capital Goods
WAAREERTL.NS,Waaree Renewable Technologies Ltd.,Capital Goods
WAKEFIT.NS,Wakefit Innovations Ltd.,Consumer Durables
WEWORK.NS,WeWork India Management Ltd.,Services
WEBELSOLAR.NS,Websol Energy System Ltd.,Capital Goods
WELENT.NS,Welspun Enterprises Ltd.,Construction
WESTLIFE.NS,Westlife Foodworld Ltd.,Consumer Services
YATHARTH.NS,Yatharth Hospital & Trauma Care Services Ltd.,Healthcare
ZAGGLE.NS,Zaggle Prepaid Ocean Services Ltd.,Information Technology
